Equacao;Ano;sigla
(((AG010 - AG019)*(1000/(365/12)))/(((AG025_AA + AG025)/(2))+((AG026_AA + AG026)/(2))));2016;CONSAGUHAB
AG002;2014;CONSAGUHAB
AG002;2015;CONSAGUHAB
(((AG010 - AG019)*(1000/(365/12)))/(((AG025_AA + AG025)/(2))+((AG026_AA + AG026)/(2))));2017;CONSAGUHAB
(((AG003_AA + AG003)/(2))/((AG002_AA + AG002)/(2)));2016;IN001
(((AG003_AA + AG003)/(2))/((AG002_AA + AG002)/(2)));2014;IN001
(((AG003_AA + AG003)/(2))/((AG002_AA + AG002)/(2)));2017;IN001
(((AG003_AA + AG003)/(2))/((AG002_AA + AG002)/(2)));2015;IN001
(((AG003_AA + AG003)/(2))/((AG002_AA + AG002)/(2)));2013;IN001
(((AG003_AA+AG003)/2)+((ES003_AA+ES003)/2))/((FN026_AA+FN026)/2);2015;IN002
(((AG003_AA+AG003)/2)+((ES003_AA+ES003)/2))/((FN026_AA+FN026)/2);2013;IN002
(((AG003_AA+AG003)/2)+((ES003_AA+ES003)/2))/((FN026_AA+FN026)/2);2017;IN002
(((AG003_AA+AG003)/2)+((ES003_AA+ES003)/2))/((FN026_AA+FN026)/2);2016;IN002
(((AG003_AA+AG003)/2)+((ES003_AA+ES003)/2))/((FN026_AA+FN026)/2);2014;IN002
((FN017)/(AG011+ES007));2013;IN003
((FN017)/(AG011+ES007));2017;IN003
((FN017)/(AG011+ES007));2016;IN003
((FN017)/(AG011+ES007));2014;IN003
((FN017)/(AG011+ES007));2015;IN003
(FN001/(AG011+ES007));2015;IN004
(FN001/(AG011+ES007));2017;IN004
(FN001/(AG011+ES007));2016;IN004
(FN001/(AG011+ES007));2014;IN004
(FN001/(AG011+ES007));2013;IN004
((FN002)/(AG011 - AG017 - AG019));2014;IN005
((FN002)/(AG011 - AG017 - AG019));2013;IN005
((FN002)/(AG011 - AG017 - AG019));2017;IN005
((FN002)/(AG011 - AG017 - AG019));2016;IN005
((FN002)/(AG011 - AG017 - AG019));2015;IN005
((FN003)/(ES007 - ES013));2017;IN006
((FN003)/(ES007 - ES013));2016;IN006
((FN003)/(ES007 - ES013));2015;IN006
((FN003)/(ES007 - ES013));2014;IN006
((FN003)/(ES007 - ES013));2013;IN006
((FN010 + FN014)/(FN017))*100;2013;IN007
((FN010 + FN014)/(FN017))*100;2017;IN007
((FN010 + FN014)/(FN017))*100;2015;IN007
((FN010 + FN014)/(FN017))*100;2016;IN007
((FN010 + FN014)/(FN017))*100;2014;IN007
((FN010)/((FN026 + FN026_AA)/(2)));2017;IN008
((FN010)/((FN026 + FN026_AA)/(2)));2015;IN008
((FN010)/((FN026 + FN026_AA)/(2)));2016;IN008
((FN010)/((FN026 + FN026_AA)/(2)));2014;IN008
((FN010)/((FN026 + FN026_AA)/(2)));2013;IN008
(((AG004_AA + AG004)/(2))/((AG002_AA + AG002)/(2)))*100;2013;IN009
(((AG004_AA + AG004)/(2))/((AG002_AA + AG002)/(2)))*100;2017;IN009
(((AG004_AA + AG004)/(2))/((AG002_AA + AG002)/(2)))*100;2016;IN009
(((AG004_AA + AG004)/(2))/((AG002_AA + AG002)/(2)))*100;2015;IN009
(((AG004_AA + AG004)/(2))/((AG002_AA + AG002)/(2)))*100;2014;IN009
((AG008)/(AG006 + AG018 - AG019 - AG024))*100;2015;IN010
((AG008)/(AG006 + AG018 - AG019 - AG024))*100;2017;IN010
((AG008)/(AG006 + AG018 - AG019 - AG024))*100;2014;IN010
((AG008)/(AG006 + AG018 - AG019 - AG024))*100;2016;IN010
((AG008)/(AG006 + AG018 - AG019 - AG024))*100;2013;IN010
((AG012 - AG019)/(AG006 + AG018 - AG019))*100;2014;IN011
((AG012 - AG019)/(AG006 + AG018 - AG019))*100;2017;IN011
((AG012 - AG019)/(AG006 + AG018 - AG019))*100;2013;IN011
((AG012 - AG019)/(AG006 + AG018 - AG019))*100;2016;IN011
((AG012 - AG019)/(AG006 + AG018 - AG019))*100;2015;IN011
((FN001)/(FN017))*100;2015;IN012
((FN001)/(FN017))*100;2016;IN012
((FN001)/(FN017))*100;2014;IN012
((FN001)/(FN017))*100;2013;IN012
((FN001)/(FN017))*100;2017;IN012
(((AG006 + AG018 - AG024) - (AG011))/(AG006 + AG018 - AG024))*100;2016;IN013
(((AG006 + AG018 - AG024) - (AG011))/(AG006 + AG018 - AG024))*100;2015;IN013
(((AG006 + AG018 - AG024) - (AG011))/(AG006 + AG018 - AG024))*100;2014;IN013
(((AG006 + AG018 - AG024) - (AG011))/(AG006 + AG018 - AG024))*100;2017;IN013
(((AG006 + AG018 - AG024) - (AG011))/(AG006 + AG018 - AG024))*100;2013;IN013
(((AG008)/(12))/((AG014_AA + AG014)/(2)));2013;IN014
(((AG008)/(12))/((AG014_AA + AG014)/(2)));2015;IN014
(((AG008)/(12))/((AG014_AA + AG014)/(2)));2017;IN014
(((AG008)/(12))/((AG014_AA + AG014)/(2)));2014;IN014
(((AG008)/(12))/((AG014_AA + AG014)/(2)));2016;IN014
((ES005)/(AG010 - AG019))*100;2013;IN015
((ES005)/(AG010 - AG019))*100;2015;IN015
((ES005)/(AG010 - AG019))*100;2017;IN015
((ES005)/(AG010 - AG019))*100;2016;IN015
((ES005)/(AG010 - AG019))*100;2014;IN015
((ES006 + ES014 + ES015)/(ES005 + ES013))*100;2015;IN016
((ES006 + ES014 + ES015)/(ES005 + ES013))*100;2017;IN016
((ES006 + ES014 + ES015)/(ES005 + ES013))*100;2014;IN016
((ES006 + ES014 + ES015)/(ES005 + ES013))*100;2016;IN016
((ES006 + ES014 + ES015)/(ES005 + ES013))*100;2013;IN016
(((AG011 - AG019)/(12))/((AG003_AA + AG003)/(2)));2017;IN017
(((AG011 - AG019)/(12))/((AG003_AA + AG003)/(2)));2015;IN017
(((AG011 - AG019)/(12))/((AG003_AA + AG003)/(2)));2014;IN017
(((AG011 - AG019)/(12))/((AG003_AA + AG003)/(2)));2013;IN017
(((AG011 - AG019)/(12))/((AG003_AA + AG003)/(2)));2016;IN017
(((FN026_AA + FN026)/(2)) + ((FN014*(FN026_AA + FN026)/(2))/(FN010)));2017;IN018
(((FN026_AA + FN026)/(2)) + ((FN014*(FN026_AA + FN026)/(2))/(FN010)));2016;IN018
(((FN026_AA + FN026)/(2)) + ((FN014*(FN026_AA + FN026)/(2))/(FN010)));2014;IN018
(((FN026_AA + FN026)/(2)) + ((FN014*(FN026_AA + FN026)/(2))/(FN010)));2013;IN018
(((FN026_AA + FN026)/(2)) + ((FN014*(FN026_AA + FN026)/(2))/(FN010)));2015;IN018
((AG003_AA + AG003) + 	(ES003_AA + ES003))/(	(FN026_AA + FN026) + 	(		(FN014*			(FN026_AA + FN026)		)	)/	(FN010));2013;IN019
