CODMUN;municipio;UF;CODREG;CODPRE;prestadora;Sigla;Abrangencia;Natureza;servico;IN003;IN026;IN027;IN004;IN005;IN006;IN012;IN029;IN007;IN008;IN030;IN031;IN032;IN033;IN034;IN035;IN036;IN037;IN038;IN039;IN040;IN041;IN042;IN054;IN018;IN019;IN102;IN048;IN002;IN045;IN101;IN060;IN055;IN023;IN001;IN043;IN011;IN009;IN010;IN044;IN057;IN052;IN025;IN053;IN014;IN017;IN022;IN058;IN020;IN028;IN013;IN049;IN050;IN051;IN056;IN024;IN047;IN015;IN016;IN046;IN021;IN059;IN071;IN072;IN073;IN074;IN077;IN082;IN083;IN079;IN075;IN080;IN076;IN085;IN084;IN061;IN062;IN063;IN064;IN068;IN065;IN069;IN066;IN067
220005;Acauã;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;5,12;4,38;558,04;2,61;2,61;;50,90;-2,59;75,10;116.059,64;168,03;75,40;147,55;0,00;8,54;44,87;87,81;3,92;0,00;5,08;96,27;;3,73;54,24;1,96;236,84;233,01;2,19;463,50;2,19;54,90;0,44;13,15;98,48;1,02;87,81;0,00;99,23;51,15;92,09;0,00;55,54;13,65;7,28;6,75;10,62;123,98;0,30;7,13;81,02;18,98;44,46;22,64;194,66;;;;;;;;;;;;;;;;25,00;16,67;25,00;16,67;25,00;3,33;;;;;;;;;
220010;Agricolândia;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;4,31;3,44;518,51;2,52;2,52;;58,43;-1,75;59,43;179.856,85;136,50;77,71;101,71;0,00;4,65;56,93;74,51;17,87;0,00;3,41;90,82;;9,18;295,56;2,62;465,52;460,75;1,66;609,25;1,66;68,25;0,30;69,59;98,50;1,01;95,20;31,98;97,68;52,21;91,40;0,00;57,13;18,34;10,48;9,84;12,56;119,65;1,40;12,31;68,49;31,51;42,87;14,91;261,25;;;;;;;;;;;;;;;;111,67;0,00;111,67;1,49;111,67;5,97;;;;;;;;;
220020;Água Branca;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,02;2,25;333,85;2,63;2,63;;87,14;6,10;58,19;159.804,88;85,26;50,71;66,78;0,00;1,09;59,48;78,32;14,05;0,00;1,28;96,90;;3,10;206,61;7,90;611,15;596,22;1,27;804,75;1,27;87,16;0,36;88,27;99,88;1,03;93,39;12,63;97,58;46,72;89,09;0,00;52,44;19,40;10,17;9,31;12,39;110,19;0,56;3,43;63,87;36,13;47,56;75,95;310,88;;;;;;;;;;;;;;;;243,33;1,37;243,33;0,00;243,33;4,11;;;;;;;;;
220025;Alagoinha do Piauí;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,04;2,37;309,18;2,23;2,23;;73,33;7,27;53,53;96.681,26;106,34;60,40;72,99;0,00;1,00;56,80;68,64;25,37;0,00;0,94;96,90;;3,10;148,50;2,42;455,57;453,50;1,82;550,50;1,82;72,35;0,34;35,62;97,98;1,00;96,28;0,00;83,67;23,92;53,47;0,00;44,74;17,24;7,71;4,93;10,87;105,38;1,11;3,79;63,05;36,95;55,26;68,02;314,64;;;;;;;;;;;;;;;;40,00;4,17;40,00;0,00;40,00;0,00;;;;;;;;;
220030;Alto Longá;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;2,64;1,87;288,31;2,55;2,55;;96,42;-11,12;48,30;187.766,37;73,44;33,24;50,09;0,00;3,17;45,26;68,21;19,85;0,00;4,32;95,48;;4,52;139,94;1,51;954,82;949,18;0,70;1.439,00;0,70;116,69;0,44;31,33;63,68;1,01;91,59;2,56;100,00;63,13;97,07;0,00;65,04;16,27;10,58;10,27;12,84;114,40;0,66;7,05;78,91;21,09;34,96;19,11;188,09;;;;;;;;;;;;;;;;113,33;0,00;113,33;0,00;113,33;5,88;;;;;;;;;
220040;Altos;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água e Esgotos;2,99;2,27;332,93;2,38;2,49;1,33;79,67;-0,91;55,84;168.466,61;95,31;47,97;70,09;0,00;2,57;50,33;73,54;17,78;0,22;2,70;90,58;4,95;4,47;211,62;8,77;688,11;675,22;1,01;1.005,42;1,12;86,87;0,37;48,88;69,29;1,02;93,18;21,64;97,56;47,71;81,44;0,00;58,59;17,83;10,03;8,37;12,27;96,14;0,83;3,96;71,68;28,32;41,41;45,18;237,65;5,15;7,29;7,29;8,42;100,00;8,42;17,87;0,11;;;;;;0,00;;171,67;0,00;171,67;0,00;171,67;2,91;;;;;;;;;
220050;Amarante;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;2,76;1,93;303,71;2,91;2,91;;105,26;7,59;54,97;185.781,93;66,23;38,92;52,23;0,00;1,18;58,77;78,86;11,10;0,00;1,78;96,58;;3,42;208,13;4,03;775,74;747,29;1,00;1.040,83;1,00;103,73;0,32;50,12;97,90;1,04;91,13;93,91;95,26;42,59;80,75;0,00;52,74;21,03;11,09;9,40;13,15;132,38;0,41;5,83;62,52;37,48;47,26;48,74;339,15;;;;;;;;;;;;;;;;175,00;0,00;175,00;0,00;175,00;5,71;;;;;;;;;
220060;Angical do Piauí;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,78;2,94;404,56;2,72;2,72;;71,79;-2,39;65,07;114.629,75;108,35;72,75;90,63;0,00;1,43;67,14;83,65;10,09;0,00;1,32;95,73;;4,27;139,57;4,36;338,74;333,92;2,40;422,00;2,40;79,47;0,46;69,00;88,29;1,01;94,55;1,00;97,15;21,88;85,75;0,00;25,52;33,79;8,63;7,61;11,45;94,31;0,22;11,18;33,89;66,11;74,48;48,31;839,42;;;;;;;;;;;;;;;;148,33;0,00;148,33;0,00;148,33;6,74;;;;;;;;;
220070;Anísio de Abreu;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,78;3,02;430,09;2,42;2,42;;63,97;18,44;55,44;252.265,47;124,79;40,23;86,67;0,00;0,99;32,24;69,46;25,34;0,00;0,80;95,15;;4,85;269,39;2,15;844,48;838,22;0,55;1.819,50;0,55;56,70;0,51;47,84;96,67;1,01;94,50;0,00;99,72;35,72;52,61;0,00;67,91;13,88;9,42;4,97;11,87;133,62;1,29;6,04;85,58;14,42;32,09;17,97;147,50;;;;;;;;;;;;;;;;36,67;0,00;29,17;2,86;36,67;0,00;;;;;;;;;
220080;Antônio Almeida;PI;2;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;Água;3,19;2,32;355,09;2,70;2,70;;84,60;-9,55;62,01;108.094,68;86,11;66,87;73,30;0,00;0,83;77,66;85,12;7,35;0,00;0,97;93,11;;6,89;117,55;2,19;357,62;355,34;2,57;392,00;2,57;104,05;0,38;71,55;97,79;1,01;94,58;0,00;90,05;35,24;79,81;0,00;44,16;24,78;10,94;9,73;12,74;127,41;0,23;11,68;51,42;48,58;55,84;30,33;457,88;;;;;;;;;;;;;;;;58,33;0,00;55,00;0,00;58,33;8,57;;;;;;;;;
