codmun;municipio;UF;codpre;prestadora;sigla;abrangencia;natureza;servico
520005;Abadia de Goiás;GO;52087000;Saneamento de Goiás S/A;SANEAGO;Regional;Sociedade de economia mista com administração pública;AE
310010;Abadia dos Dourados;MG;31062000;Companhia de Saneamento de Minas Gerais;COPASA;Regional;Sociedade de economia mista com administração pública;A
310010;Abadia dos Dourados;MG;31001011;Prefeitura Municipal de Abadia dos Dourados;PMAD;Local;Administração pública direta;E       
310020;Abaeté;MG;31062000;Companhia de Saneamento de Minas Gerais;COPASA;Regional;Sociedade de economia mista com administração pública;AE
150010;Abaetetuba;PA;15014000;Companhia de Saneamento do Pará;COSANPA;Regional;Sociedade de economia mista com administração pública;A
230010;Abaiara;CE;23044000;Companhia de A e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;A
290020;Abaré;BA;29274000;Empresa Baiana de Águas e Saneamento S.A.;EMBASA;Regional;Sociedade de economia mista com administração pública;AE
410010;Abatiá;PR;41001011;Serviço Autônomo Municipal de AE;SAMAE;Local;Autarquia;AE
420005;Abdon Batista;SC;42000511;Prefeitura Municipal de Abdon Batista;PMAB;Local;Administração pública direta;A         
150013;Abel Figueiredo;PA;15001311;Prefeitura Municipal de Abel Figueiredo;PMAF;Local;Administração pública direta;A         
420010;Abelardo Luz;SC;42054000;Companhia Catarinense de As e Saneamento;CASAN;Regional;Sociedade de economia mista com administração pública;A
260005;Abreu e Lima;PE;26116000;Companhia Pernambucana de Saneamento;COMPESA;Regional;Sociedade de economia mista com administração pública;AE
170025;Abreulândia;TO;17210001;Agência Tocantinense de Saneamento;ATS;Regional;Autarquia;A
310040;Acaiaca;MG;31004011;Prefeitura Municipal de Acaiaca;PMA;Local;Administração pública direta;AE
210005;Açailândia;MA;21113000;Companhia de Saneamento Ambiental do Maranhão;CAEMA;Regional;Sociedade de economia mista com administração pública;A
290030;Acajutiba;BA;29274000;Empresa Baiana de As e Saneamento S.A.;EMBASA;Regional;Sociedade de economia mista com administração pública;A
230015;Acarapé;CE;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;AE
230020;Acaraú;CE;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;AE
240010;Acari;RN;24081000;Companhia de Águas e Esgotos do Rio Grande do Norte;CAERN;Regional;Sociedade de economia mista com administração pública;AE
220005;Acauã;PI;22110000;As e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;A
430003;Aceguá;RS;43149000;Companhia Rio-Grandense de Saneamento;CORSAN;Regional;Sociedade de economia mista com administração pública;A
430003;Aceguá;RS;43000311;Prefeitura Municipal de Aceguá;PMA;Local;Administração pública direta;E       
230030;Acopiara;CE;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;AE
120001;Acrelândia;AC;12004000;Departamento Estadual de Pavimentação e Saneamento;DEPASA;Regional;Autarquia;A
520013;Acreúna;GO;52087000;Saneamento de Goiás S/A;SANEAGO;Regional;Sociedade de economia mista com administração pública;AE
240020;Açu;RN;24081000;Companhia de As e Esgotos do Rio Grande do Norte;CAERN;Regional;Sociedade de economia mista com administração pública;A
310050;Açucena;MG;31062000;Companhia de Saneamento de Minas Gerais;COPASA;Regional;Sociedade de economia mista com administração pública;A
350010;Adamantina;SP;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Sociedade de economia mista com administração pública;AE
520015;Adelândia;GO;52087000;Saneamento de Goiás S/A;SANEAGO;Regional;Sociedade de economia mista com administração pública;A
350020;Adolfo;SP;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Sociedade de economia mista com administração pública;AE
410020;Adrianópolis;PR;41069000;Companhia de Saneamento do Paraná;SANEPAR;Regional;Sociedade de economia mista com administração privada;A
290035;Adustina;BA;29274000;Empresa Baiana de As e Saneamento S.A.;EMBASA;Regional;Sociedade de economia mista com administração pública;A
260010;Afogados da Ingazeira;PE;26116000;Companhia Pernambucana de Saneamento;COMPESA;Regional;Sociedade de economia mista com administração pública;A
260010;Afogados da Ingazeira;PE;26001011;Prefeitura Municipal de Afogados da Ingazeira;PMAI;Local;Administração pública direta;E       
240030;Afonso Bezerra;RN;24081000;Companhia de Águas e Esgotos do Rio Grande do Norte;CAERN;Regional;Sociedade de economia mista com administração pública;AE
320010;Afonso Cláudio;ES;32053000;Companhia Espírito-Santense de Saneamento;CESAN;Regional;Sociedade de economia mista com administração pública;AE
320010;Afonso Cláudio;ES;32001011;Prefeitura Municipal de Afonso Cláudio;PMAC;Local;Administração pública direta;E       
210010;Afonso Cunha;MA;21113000;Companhia de Saneamento Ambiental do Maranhão;CAEMA;Regional;Sociedade de economia mista com administração pública;A
260020;Afrânio;PE;26116000;Companhia Pernambucana de Saneamento;COMPESA;Regional;Sociedade de economia mista com administração pública;A
150030;Afuá;PA;15014000;Companhia de Saneamento do Pará;COSANPA;Regional;Sociedade de economia mista com administração pública;A
260030;Agrestina;PE;26116000;Companhia Pernambucana de Saneamento;COMPESA;Regional;Sociedade de economia mista com administração pública;A
220010;Agricolândia;PI;22110000;As e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;A
420020;Agrolândia;SC;42054000;Companhia Catarinense de As e Saneamento;CASAN;Regional;Sociedade de economia mista com administração pública;A
420030;Agronômica;SC;42054000;Companhia Catarinense de As e Saneamento;CASAN;Regional;Sociedade de economia mista com administração pública;A
310060;A Boa;MG;31686000;Copasa Serviços de Saneamento Integrado do Norte e Nordeste de ;COPANOR;Regional;Empresa pública;A
310060;A Boa;MG;31062000;Companhia de Saneamento de Minas Gerais;COPASA;Regional;Sociedade de economia mista com administração pública;A
310060;Água Boa;MG;31006011;Prefeitura Municipal de Água Boa;PMAB;Local;Administração pública direta;E       
510020;Água Boa;MT;51002011;Prefeitura Municipal de Água Boa;DEMAE;Local;Administração pública direta;AE
220020;Água Branca;PI;22110000;Águas e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;AE
250010;A Branca;PB;25075000;Companhia de As e Esgotos da Paraíba;CAGEPA;Regional;Sociedade de economia mista com administração pública;A
270010;A Branca;AL;27043000;Companhia de Saneamento de Alagoas;CASAL;Regional;Sociedade de economia mista com administração pública;A
270010;Água Branca;AL;27001011;Prefeitura Municipal de Água Branca;PMAB;Local;Administração pública direta;E       
500020;A Clara;MS;50027000;Empresa de Saneamento de Mato Grosso do Sul S/A;SANESUL;Regional;Sociedade de economia mista com administração pública;A
310070;A Comprida;MG;31062000;Companhia de Saneamento de Minas Gerais;COPASA;Regional;Sociedade de economia mista com administração pública;A
310070;Água Comprida;MG;31007011;Prefeitura Municipal de Água Comprida;PMAC;Local;Administração pública direta;E       
420040;A Doce;SC;42054000;Companhia Catarinense de As e Saneamento;CASAN;Regional;Sociedade de economia mista com administração pública;A
320016;A Doce do Norte;ES;32053000;Companhia Espírito-Santense de Saneamento;CESAN;Regional;Sociedade de economia mista com administração pública;A
290040;A Fria;BA;29274000;Empresa Baiana de As e Saneamento S.A.;EMBASA;Regional;Sociedade de economia mista com administração pública;A
520017;A Fria de Goiás;GO;52087000;Saneamento de Goiás S/A;SANEAGO;Regional;Sociedade de economia mista com administração pública;A
520020;A Limpa;GO;52087000;Saneamento de Goiás S/A;SANEAGO;Regional;Sociedade de economia mista com administração pública;A
240040;A Nova;RN;24081000;Companhia de As e Esgotos do Rio Grande do Norte;CAERN;Regional;Sociedade de economia mista com administração pública;A
260040;A Preta;PE;26004011;Serviço Autônomo de A e Esgoto;SAAE;Local;Autarquia;A         
430005;A Santa;RS;43149000;Companhia Rio-Grandense de Saneamento;CORSAN;Regional;Sociedade de economia mista com administração pública;A
350030;Aguaí;SP;35003011;Prefeitura Municipal de Águaí;DAE;Local;Administração pública direta;AE
310080;Aguanil;MG;31008011;Prefeitura Municipal de Águanil;PMA;Local;Administração pública direta;AE
260050;As Belas;PE;26116000;Companhia Pernambucana de Saneamento;COMPESA;Regional;Sociedade de economia mista com administração pública;A
350040;Águas da Prata;SP;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Sociedade de economia mista com administração pública;AE
420050;As de Chapecó;SC;42054000;Companhia Catarinense de As e Saneamento;CASAN;Regional;Sociedade de economia mista com administração pública;A
350050;Águas de Lindóia;SP;35005011;Saneamento Ambiental de Águas de Lindóia;SAAE;Local;Autarquia;AE
350055;Águas de Santa Bárbara;SP;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Sociedade de economia mista com administração pública;AE
350060;Águas de São Pedro;SP;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Sociedade de economia mista com administração pública;AE
310090;Águas Formosas;MG;31686000;Copasa Serviços de Saneamento Integrado do Norte e Nordeste de ;COPANOR;Regional;Empresa pública;AE
310090;As Formosas;MG;31062000;Companhia de Saneamento de Minas Gerais;COPASA;Regional;Sociedade de economia mista com administração pública;A
310090;Águas Formosas;MG;31009011;Prefeitura Municipal de Águas Formosas;PMAF;Local;Administração pública direta;E       
420055;As Frias;SC;42054000;Companhia Catarinense de As e Saneamento;CASAN;Regional;Sociedade de economia mista com administração pública;A
520025;As Lindas de Goiás;GO;52087000;Saneamento de Goiás S/A;SANEAGO;Regional;Sociedade de economia mista com administração pública;A
420060;As Mornas;SC;42054000;Companhia Catarinense de As e Saneamento;CASAN;Regional;Sociedade de economia mista com administração pública;A
310100;Águas Vermelhas;MG;31062000;Companhia de Saneamento de Minas Gerais;COPASA;Regional;Sociedade de economia mista com administração pública;AE
430010;Agudo;RS;43149000;Companhia Rio-Grandense de Saneamento;CORSAN;Regional;Sociedade de economia mista com administração pública;A
350070;Agudos;SP;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Sociedade de economia mista com administração pública;AE
410030;Agudos do Sul;PR;41069000;Companhia de Saneamento do Paraná;SANEPAR;Regional;Sociedade de economia mista com administração privada;AE
320013;Águia Branca;ES;32053000;Companhia Espírito-Santense de Saneamento;CESAN;Regional;Sociedade de economia mista com administração pública;A
250020;Aguiar;PB;25075000;Companhia de As e Esgotos da Paraíba;CAGEPA;Regional;Sociedade de economia mista com administração pública;A
170030;Aguiarnópolis;TO;17210000;Companhia de Saneamento do Tocantins;SANEATINS;Regional;Empresa privada;AE
310110;Aimorés;MG;31011011;Serviço Autônomo de AE;SAAE;Local;Autarquia;AE
290060;Aiquara;BA;29274000;Empresa Baiana de As e Saneamento S.A.;EMBASA;Regional;Sociedade de economia mista com administração pública;A
310120;Aiuruoca;MG;31012011;Prefeitura Municipal de Aiuruoca;PMA;Local;Administração pública direta;AE
430020;Ajuricaba;RS;43149000;Companhia Rio-Grandense de Saneamento;CORSAN;Regional;Sociedade de economia mista com administração pública;A
250030;Alagoa Grande;PB;25075000;Companhia de Águas e Esgotos da Paraíba;CAGEPA;Regional;Sociedade de economia mista com administração pública;AE
250040;Alagoa Nova;PB;25075000;Companhia de As e Esgotos da Paraíba;CAGEPA;Regional;Sociedade de economia mista com administração pública;A
260060;Alagoinha;PE;26116000;Companhia Pernambucana de Saneamento;COMPESA;Regional;Sociedade de economia mista com administração pública;A
250050;Alagoinha;PB;25005011;Serviço Autônomo de A e Esgoto;SAAE;Local;Autarquia;A         
260060;Alagoinha;PE;26006011;Prefeitura Municipal de Alagoinha;PMA;Local;Administração pública direta;E       
220025;Alagoinha do Piauí;PI;22110000;As e Esgotos do Piauí S/A;AGESPISA;Regional;Sociedade de economia mista com administração pública;A
290070;Alagoinhas;BA;29007011;Serviço Autônomo de AE;SAAE;Local;Autarquia;AE
350075;Alambari;SP;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Sociedade de economia mista com administração pública;AE
310140;Albertina;MG;31014011;Prefeitura Municipal de Albertina;PMA;Local;Administração pública direta;AE
210020;Alcântara;MA;21113000;Companhia de Saneamento Ambiental do Maranhão;CAEMA;Regional;Sociedade de economia mista com administração pública;A
230050;Alcântaras;CE;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;AE
250053;Alcantil;PB;25005311;Prefeitura Municipal de Alcantil;PMA;Local;Administração pública direta;AE
500025;Alcinópolis;MS;50027000;Empresa de Saneamento de Mato Grosso do Sul S/A;SANESUL;Regional;Sociedade de economia mista com administração pública;A
290080;Alcobaça;BA;29274000;Empresa Baiana de As e Saneamento S.A.;EMBASA;Regional;Sociedade de economia mista com administração pública;A
210030;Aldeias Altas;MA;21113000;Companhia de Saneamento Ambiental do Maranhão;CAEMA;Regional;Sociedade de economia mista com administração pública;A
430030;Alecrim;RS;43149000;Companhia Rio-Grandense de Saneamento;CORSAN;Regional;Sociedade de economia mista com administração pública;A
320020;Alegre;ES;32002011;Serviço Autônomo de AE;SAAE;Local;Autarquia;AE
430040;Alegrete;RS;43149000;Companhia Rio-Grandense de Saneamento;CORSAN;Regional;Sociedade de economia mista com administração pública;AE
220027;Alegrete do Piauí;PI;22002711;Prefeitura Municipal de Alegrete do Piauí;PMAPI;Local;Administração pública direta;A         
310150;Além Paraíba;MG;31062000;Companhia de Saneamento de Minas Gerais;COPASA;Regional;Sociedade de economia mista com administração pública;AE
150040;Alenquer;PA;15014000;Companhia de Saneamento do Pará;COSANPA;Regional;Sociedade de economia mista com administração pública;A
240050;Alexandria;RN;24005011;Serviço Autônomo de AE de Alexandria;SAAE;Local;Autarquia;AE
520030;Alexânia;GO;52087000;Saneamento de Goiás S/A;SANEAGO;Regional;Sociedade de economia mista com administração pública;A
310160;Alfenas;MG;31062000;Companhia de Saneamento de Minas Gerais;COPASA;Regional;Sociedade de economia mista com administração pública;AE
320030;Alfredo Chaves;ES;32003011;Serviço Autônomo de AE;SAAE;Local;Autarquia;AE
350080;Alfredo Marcondes;SP;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Sociedade de economia mista com administração pública;AE
310163;Alfredo Vasconcelos;MG;31062000;Companhia de Saneamento de Minas Gerais;COPASA;Regional;Sociedade de economia mista com administração pública;A
420070;Alfredo Wagner;SC;42054000;Companhia Catarinense de As e Saneamento;CASAN;Regional;Sociedade de economia mista com administração pública;A
